RÉGIONS,,QUESTIONS,RÉPONSES,,,,EXPLICATION DE LA BONNE RÉPONSE (1 PHRASE)
Nouvelle-Aquitaine,,Quelle est la particularité de la Rue Sainte-Catherine à Bordeaux ?,C’est la rue la plus pentue de France,$C’est la rue piétonne la plus longue d’Europe,Tous ses habitants s’appellent Catherine,Elle est jonchée de trous,Elle est longue de 1250 mètres.
,,,,,,,
Auvergne-Rhône-Alpes,,Lyon possède depuis 2015 sa propre monnaie. Laquelle ?,$La Gonnette,La Lyonnaise,La Bouchonette,L'Andouillette,"La Gonette est la Monnaie Locale Citoyenne de la région lyonnaise. Elle est un outil monétaire, considéré comme un bien commun, au service de l’intérêt général et des besoins du territoire."
Auvergne-Rhône-Alpes,,Quel est le fromage français le plus calorique ?,$Le comté,Le munster,La tomme de Savoie,Le bleu d'Auvergne,Le Comté est un fromage à pâte pressée cuite qui affiche entre 380 et 400 kilocalories par tranche de 100 grammes.
Auvergne-Rhône-Alpes,,"Que signifie l'expression ""avoir la paille au cul"" ?","$Prendre ses jambes à son cou
",Être sur la paille,Avoir raté un examen,Avoir raté son plat ,S'en aller la paille au cul signifie fuir alors qu'on a de la prison à faire. C'est une allusion à la paille sur laquelle couchent les prisonniers.
,,,,,,,
Occitanie,,Que s'est-il passé à Toulouse en 1463 pour que le roi Louis XI exempte les toulousains d’impôts pendant 100 ans ?,Louis XI acheta un hôtel à Toulouse,$Un grand incendie,Une victoire guerrière contre les Espagnols,Une victoire du Toulouse Football Club sur le Paris Saint-Germain,"L'incendie, qui ravage le coeur commerçant de la cité, parti d'une boulangerie et dura près de 15 jours."
Occitanie,,Quel est le plus haut sommet des Pyrénées françaises avec 3298 mètres d'altitude ?,$Le Vignemale,Le Canigou,Le Mont-Perdu,Le Piquemolle,"Avec ses 3298 mètres d'altitude, la pique Longue est un sommet des Pyrénées, situé à la frontière franco-espagnole, dans le massif du Vignemale."
Occitanie,,Quelle est la forme de la maison carrée de Nimes ?,Carrée,Ronde,Parallélépipède,$Hexastyle,La Maison Carrée est un temple romain hexastyle édifié au début du Iᵉʳ siècle.
,,,,,,,
Provence-Alpes-Côte d'Azur,,Quel fléau fut introduit en France par la ville de Marseille en 1347 ?,Le covid,$La peste,La lèpre,Le choléra,"Elle fut propagée à partir du Grand-Saint-Antoine, accostant à Marseille le 25 mai 1720. L'épidémie fit près de 40 000 morts."
Provence-Alpes-Côte d'Azur,,Quel évènement se produit à Nice tous les jours à midi ?,$Un tir de canon,Un carnaval surprise,Un défilé en maillot de bain,La marée haute,"Depuis 1863, à midi tapant résonne le bruit du ""coup de canon"" aujourd'hui tiré par un artificier. Il s'agit en fait d'une bombe d'artifice."
Provence-Alpes-Côte d'Azur,,De quelle couleur sont 88% des vins produits en Provence ?,Rouges,Blancs,$Rosés,Pétillants,"La couleur du vin rosé vient du raisin. Plus le jus reste en contact avec la peau du raisin, plus le vin est coloré."
,,,,,,,
Corse,,Quel est l'hymne national de la Corse ?,$Dio vi salvi Regina,Libera Libera a Corsica,Uniti Vinceremu,Corsica di Petru Guelfucci,"Bien que n'étant pas en langue corse, ce cantique en italien est un chant dédié à la Vierge Marie. Il est chanté lors de cérémonies religieuses, publiques ou familiales."
Corse,,"Avec quelle chanson, Amaury Vassili représente-t-il la France en chantant en corse à l'Eurovision de 2011 ?",Sonata,Soru,Sorata,$Sognu,"Sognu signifie ""rêve"" en Corse. Le chanteur remporta la 15ème sur 25 pays."
Corse,,Comment s'appelle ce célèbre fromage corse à base de lait de chèvre ou de brebis ?,Le bleu de Corse,$Le brocciu,"Le gorgonzola
",Le seguin,Il s'agit du fromage national corse et ''Qui n'en n'a pas goûté ne connaît pas l'île !'' selon les écrits d'Émile Bergerat.
,,,,,,,
Mayotte,,Comment appelle-t-on les habitants de Mayotte ?,Les Mayotins,$Les Mahorais,Les Mayotiens,Les Mayots,Mayotte est un archipel de l'océan Indien situé entre Madagascar et la côte du Mozambique.
Mayotte,,"Qu'est-ce qu'un ""bonbon-piment"" à Mayotte ?",Un bonbon hyper piquant,$Un beignet salé et épicé,Un petit piment,Un bisou langoureux,"Le bonbon piment est un petit beignet salé et épicé qui aurait été importé par les Zarabes, membres de la communauté indo-pakistanaise, au XIXᵉ siècle."
Mayotte,,"Qui sont les ""Chatouilleuses"" ?",Un groupe de hard-rock,Des femmes qui font des guilis,Des championnes du monde de massage,$Des femmes activistes,"Ce sont des femmes de Mayotte qui se sont battues, dans les années 1960 et 1970 pour arrimer Mayotte à la République française."
,,,,,,,
Martinique,,Quelle boisson martiniquaise dispose d'une appellation AOC ?,Le ti punch,L'eau de coco,$Le rhum agricole,Le soda exotique,Le rhum agricole martiniquais possède depuis 1996 une appellation d'origine contrôlée. La Martinique est le seul département d'outre-mer à bénéficier de cette appellation.
Martinique,,Qu'est ce que le tour des Yoles en Martinique ?,Une course à vélo,Un intinéraire de roadtrip,Un sentier autour de la montagne pelée,$Une course en bateau ,"En Martinique, chaque année au mois de juillet, a lieu une course de yoles rondes, petite embarcation légère propulsée soit à l'aviron, soit à la voile."
Martinique,,"Quel est l'ingrédient principal du Matoutou, plat traditionnel durant les fêtes de Pâques en Martinique ?",$Le crabe,La tortue,Le poulpe,Le barracuda,Le Matoutou de crabe ou ''Matété'' en Guadeloupe est une recette traditionnellement préparée pour les fêtes de Pâques et de la Pentecôte.
,,,,,,,
Guadeloupe,,Quel courant d'eau sépare la Basse Terre de la Grande Terre en Guadeloupe ?,Le fleuve sucré,Le grand canal,$La rivière salée,Le ruisseau en feu,Ce bras de mer de cinq kilomètres est entouré par une mangrove et fait communiquer deux grandes baies de l'archipel : le Grand et le Petit Cul-de-sac marin.
Guadeloupe,,Combien de temps dure le carnaval de Guadeloupe ?,Un jour,Une semaine,$Plus d'un mois,Toute l'année,"Concours de chants et de danses, élection de la reine et défilés costumés ont lieu chaque année du 1ᵉʳ janvier au mercredi des Cendres."
Guadeloupe,,"Qui est le roi du carnaval en Guadeloupe, Martinique et Guyane ?",Monsieur gras,$Vaval,Casanova,Arlequin,"Chaque année, le mercredi des cendres est le dernier jour du carnaval, le roi Vaval se meurt. Les carnavaliers s’habillent en noir et blanc pour marquer le deuil qui s’annonce."
,,,,,,,
Réunion,,Quel est le plus haut sommet de l'île de la Réunion ?,Le Maïdo,$Le Piton des Neiges,Le Grand Bénare,Le Piton de la Fournaise,Le Piton des Neiges culmine aujourd'hui à 3070 mètres d'altitude.
Réunion,,"Qu'est-ce qu'un ""zorey"" à La Réunion ?",Un Réunionnais,Un lézard,$Un métropolitain,Un extraterrestre,Le terme ''Zorey'' aussi orthographié ''Z'oreille'' désigne un français métropolitain.
Réunion,,Quel oiseau est endémique de La Réunion ?,$Le papangue,Le flamant rose,L'aigle royal,La perruche à collier,Le papangue vit et se reproduit uniquement sur l'île de la Réunion.
,,,,,,,
Guyane,,La Guyane est-elle...,Une région d'outre-mer,Un département d'outre-mer,$Les deux,"Ni l'un, ni l'autre",La Guyane est un DROM (Département et Région d'Outre-Mer).
Guyane,,Quelle proportion du territoire guyanais est recouverte de forêt ?,Environ 25%,Environ 50%,Environ 75%,$Environ 95%,Les forêts couvrent en Guyane près de 8 millions d'hectares. Plus de 1500 espèces d'arbres y prospèrent.
Guyane,,Quelles ressources présentent en Guyane suscitent les convoitises et une exploitation illégale ?,$L'or,Le pétrole,La papaye,L'ivoire,L'orpaillage illégal est le principal fléau environnemental menaçant la Guyane.
